AgencyCd,SiteNo,LithologyDescription
TWDB,1032601,"Fine Sand, Clay"
TWDB,1032601,Sandy Clay
TWDB,1032601,Rock
TWDB,1032601,"Fine Sand, Clay"
TWDB,1032601,Rock
TWDB,1032601,Clay
TWDB,1032601,"Coarse Sand, Gravel, Layers of Clay and Sandrock"
TWDB,1032601,"Blue Clay, Red Bed"
TWDB,1029201,Top Soil
TWDB,1029201,Caliche
TWDB,1029201,Sand and Stone
TWDB,1029201,Fine Sand
TWDB,1029201,Sand and Stone
TWDB,1029201,Fine Sand
TWDB,1029201,Sand and Stone
TWDB,1029201,Sand and Stone
TWDB,1029201,Sand and Stone
TWDB,1029201,Sand and lots of Clay
TWDB,1029201,Sand and Stone
TWDB,1029201,Red Bed
TWDB,1023902,Top Soil
TWDB,1023902,Caliche
TWDB,1023902,Clay
TWDB,1023902,Sandy Clay
TWDB,1023902,Blue Shale
TWDB,1023902,Sand
TWDB,1023902,Gravel
TWDB,1023902,Red Bed
TWDB,1039102,Top Soil
TWDB,1039102,Caliche
TWDB,1039102,Sandy Clay and Rock
TWDB,1039102,Sand Rock and Sand
TWDB,1039102,Sand
TWDB,1039102,Sandy Clay and Sand
TWDB,1039102,"Sand, Gravel and Sand Rock Ledges"
TWDB,1039102,Rock
TWDB,1039102,Gravel
TWDB,1039102,Rock
TWDB,1037301,Top Soil
TWDB,1037301,Caliche
TWDB,1037301,Sand
TWDB,1037301,Sand and Clay
TWDB,1037301,Sand
TWDB,1037301,Sand and Rock Stringers
TWDB,1037301,Sand and Red Bed
TWDB,1040102,Topsoil
TWDB,1040102,Caliche
TWDB,1040102,Sandy Clay
TWDB,1040102,Red Sand
TWDB,1040102,Brown Sand
TWDB,1040102,Sand & Sandy Clay
TWDB,1040102,Rock
TWDB,1040102,Sand
TWDB,1040102,Rock
TWDB,1040102,Sand & Gravel
TWDB,1040102,Red Bed
CODWR,1004,GRAVEL
CODWR,1004,SANDSTONE
CODWR,1004,SANDSTONE
CODWR,1004,SAND WITH GRAVEL
CODWR,1004,SAND WITH CLAY/SILT
CODWR,1004,CLAY
CODWR,1004,GRAVEL
CODWR,1004,CLAY
CODWR,1004,GRAVEL
CODWR,1004,GRAVEL WITH CLAY/SILT
CODWR,1004,GRAVEL
CODWR,1004,GRAVEL WITH CLAY/SILT
CODWR,1004,GRAVEL
CODWR,1004,CLAY
CODWR,1004,GRAVEL
CODWR,1004,CLAY
CODWR,1004,GRAVEL
CODWR,1004,"SAND, FINE-MED"
CODWR,1004,GRAVEL
CODWR,1004,CLAY
CODWR,149917,TOPSOIL
CODWR,149917,SAND WITH GRAVEL
CODWR,149917,CLAY
