site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#375749101041801,level,decreasing,True,7.505330357204798e-08,-5.378633535457849,-0.934640522875817,-143,697.0,-1.470666666666667,-17.90433333333333,-117.6533333333333
#375759098524502,level,no trend,False,0.6242768461207495,0.4897979999789237,0.08771929824561403,15,817.0,0.01411764705882354,-10.47705882352941,1.129411764705883
#375801099191001,level,no trend,False,0.9741177473553713,-0.03244428422615251,-0.01052631578947368,-2,950.0,-0.004000000000000448,-10.292,-0.3200000000000358
#375828101103102,level,decreasing,True,8.888534352990973e-11,-6.484739335247802,-0.5908521303258145,-943,21101.66666666667,-0.1830194805194805,-11.68545454545455,-14.64155844155844
#375832100571002,level,no trend,False,0.1836989860577931,-1.329451714228507,-0.2280701754385965,-39,817.0,-0.3433333333333334,-6.79,-27.46666666666668
#375847101081801,level,decreasing,True,3.405299111802762e-06,-4.644724899039242,-0.5428571428571428,-342,5390.0,-0.4197058823529412,-7.44014705882353,-33.5764705882353
#375910098385901,level,no trend,False,0.239973925528842,1.1750519675473,0.2091503267973856,32,696.0,0.04636363636363634,-6.994090909090908,3.709090909090907
#37863,level,decreasing,True,3.257702911874105e-07,-5.107893428351633,-0.8596491228070176,-147,817.0,-0.3599999999999999,-58.86,-28.79999999999999
#380056100554001,level,decreasing,True,1.364781865298426e-08,-5.677749739576689,-0.9263157894736842,-176,950.0,-1.7275,-24.79375,-138.2
#380106100434402,level,decreasing,True,1.574081359478896e-05,-4.31805790874785,-0.7516339869281046,-115,697.0,-0.2166666666666668,-45.19333333333333,-17.33333333333334
#380131099080901,level,decreasing,True,0.00329498370452419,-2.938787999873542,-0.4970760233918128,-85,817.0,-0.06454545454545446,-8.06909090909091,-5.163636363636357
#380135100475901,level,decreasing,True,9.321268867878985e-09,-5.742638308028994,-0.9368421052631579,-178,950.0,-0.6993750000000003,-50.53093749999999,-55.95000000000002
#380153101071303,level,decreasing,True,6.020357723457437e-08,-5.418195465767469,-0.8842105263157894,-168,950.0,-1.353787878787879,-22.55401515151515,-108.3030303030303
#380333100442901,level,decreasing,True,0.0001188855725273719,-3.848412856977258,-0.6491228070175439,-111,817.0,-0.1783333333333334,-37.22499999999999,-14.26666666666667
#380338098550101,level,no trend,False,0.8966886680598936,0.1298454946322391,0.02631578947368421,5,949.0,0.00866666666666662,-10.17733333333333,0.6933333333333296
#380344101071302,level,decreasing,True,5.10924635932497e-13,-7.222361363078806,-0.8070175438596491,-598,6832.666666666667,-0.6281250000000002,-38.065625,-50.25000000000001
#380417101021301,level,decreasing,True,1.364781865298426e-08,-5.677749739576689,-0.9263157894736842,-176,950.0,-0.964871794871796,-42.90871794871794,-77.18974358974367
#380507098214903,level,no trend,False,0.7569561822000479,0.3094803174187771,0.02456140350877193,70,49708.66666666666,0.001366459627329178,-3.196242236024844,0.1093167701863342
#380510101231101,level,no trend,False,0.3145248690509725,-1.005772811010728,-0.1684210526315789,-32,950.0,-0.06250000000000178,-57.58624999999999,-5.000000000000142
#380712099090001,level,no trend,False,0.4956627244900296,0.6813299687492026,0.1157894736842105,22,950.0,0.01108333333333331,-4.050291666666666,0.8866666666666647
#380830099133401,level,no trend,False,0.3633159096663912,0.9090648228942843,0.1633986928104575,25,697.0,0.05333333333333338,-11.96333333333333,4.26666666666667
#381048098133501,level,no trend,False,0.4751342945558337,0.714150220477315,0.1210526315789474,23,949.0,0.005916666666666681,-2.416208333333334,0.4733333333333345
#381109097395001,level,no trend,False,0.09309214399370513,-1.679307428499167,-0.2865497076023392,-49,817.0,-0.1099999999999999,-13.73,-8.79999999999999
#381122097435903,level,no trend,False,0.205754101273055,-1.265327084819948,-0.2105263157894737,-40,950.0,-0.07418749999999989,-10.26271875,-5.934999999999992
#381131098035101,level,no trend,False,1.0,0.0,0.0,0,950.0,0.000115384615384613,-4.026096153846154,0.009230769230769036
#381444098345101,level,increasing,True,0.01477851825980125,2.437761564141587,0.1884781884781885,566,53717.33333333334,0.01400000000000001,-6.169,1.120000000000001
#381456098412802,level,no trend,False,0.3787469027943562,0.8802075156451258,0.06826506826506827,205,53714.33333333334,0.003908045977011524,-8.116293103448276,0.3126436781609219
#381611100545501,level,decreasing,True,4.911239758631503e-05,-4.059811265385193,-0.6631578947368421,-126,948.0,-0.2299999999999999,-35.2825,-18.39999999999999
#381701098190001,level,no trend,False,0.3301353880303708,-0.9738412097417932,-0.1631578947368421,-31,949.0,-0.01418749999999993,-5.61521875,-1.134999999999994
#381716100540601,level,decreasing,True,1.447586850389371e-08,-5.667662571184689,-0.9532163742690059,-163,817.0,-0.409411764705882,-35.51529411764707,-32.75294117647056
#381747097375101,level,decreasing,True,7.628175406337867e-05,-3.955791237379128,-0.6666666666666666,-114,816.0,-0.1058333333333334,-13.1975,-8.466666666666676
#381826100575701,level,decreasing,True,0.002032399088374826,-3.085456561692747,-0.5052631578947369,-96,948.0,-0.04750000000000002,-40.69374999999999,-3.800000000000002
#382202098391202,level,increasing,True,0.02058403572825296,2.315528334903426,0.4052287581699346,62,694.0,0.02142857142857135,-4.902142857142858,1.714285714285708
#382601098550102,level,no trend,False,0.6494456692174662,-0.4545324114471421,-0.08496732026143791,-13,697.0,-0.01750000000000002,-4.421250000000001,-1.400000000000001
#382909101164601,level,decreasing,True,4.622543123833367e-07,-5.041351989799708,-0.8758169934640523,-134,696.0,-0.08428571428571427,-30.05357142857143,-6.742857142857142
#383130100383801,level,decreasing,True,1.362467959742375e-05,-4.34982407018001,-0.7105263157894737,-135,949.0,-0.09433333333333316,-24.22883333333333,-7.546666666666653
#383247101141301,level,decreasing,True,0.0001117622215889291,-3.863525497300708,-0.673202614379085,-103,697.0,-0.2800000000000011,-52.31999999999999,-22.40000000000009
#383448101044802,level,decreasing,True,1.990082609815147e-08,-5.612861171124384,-0.9157894736842105,-174,950.0,-0.1355000000000001,-43.08775,-10.84000000000001
#383458101460201,level,decreasing,True,0.02124824438792783,-2.303544180056828,-0.3789473684210526,-72,950.0,-0.02505952380952373,-57.96693452380952,-2.004761904761899
#383551101255002,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.2218181818181816,-44.72363636363637,-17.74545454545453
#384149101311701,level,decreasing,True,2.642238279726428e-06,-4.696834918287135,-0.8169934640522876,-125,697.0,-0.3593333333333334,-50.43066666666667,-28.74666666666667
#391552100485901,level,decreasing,True,2.487484891400271e-07,-5.158641191958249,-0.8421052631578947,-160,950.0,-0.2276010101010101,-29.8377904040404,-18.2080808080808
#391622101311101,level,no trend,False,0.6968793273680878,-0.3895364838967173,-0.06842105263157895,-13,949.0,-0.01297619047619005,-25.01172619047619,-1.038095238095204
#391822100521201,level,decreasing,True,6.340237668212012e-09,-5.807526876481298,-0.9473684210526315,-180,950.0,-0.2293750000000021,-31.71093749999998,-18.35000000000017
#391922101084901,level,decreasing,True,4.942567909194118e-05,-4.058326285539653,-0.6842105263157895,-117,817.0,-0.3028571428571435,-65.64428571428572,-24.22857142857148
